-4 -4 -18166.48128170404
-4 -3 -12938.541399980035
-4 -2 -7710.6015182560295
-4 -1 -2482.661636532025
-4 0 2745.27824519198
-4 1 7973.218126915986
-4 2 13201.158008639992
-4 3 18429.097890363995
-4 4 23657.037772088006
-3 -4 -18848.956011186416
-3 -3 -13621.016129462412
-3 -2 -8393.076247738405
-3 -1 -3165.1363660144007
-3 0 2062.8035157096047
-3 1 7290.743397433611
-3 2 12518.683279157616
-3 3 17746.62316088162
-3 4 22974.563042605627
-2 -4 -19531.43074066879
-2 -3 -14303.490858944786
-2 -2 -9075.55097722078
-2 -1 -3847.6110954967758
-2 0 1380.3287862272293
-2 1 6608.268667951235
-2 2 11836.20854967524
-2 3 17064.148431399244
-2 4 22292.088313123248
-1 -4 -20213.905470151167
-1 -3 -14985.965588427161
-1 -2 -9758.025706703156
-1 -1 -4530.085824979151
-1 0 697.8540567448539
-1 1 5925.79393846886
-1 2 11153.733820192865
-1 3 16381.67370191687
-1 4 21609.613583640876
0 -4 -20896.380199633542
0 -3 -15668.440317909537
0 -2 -10440.500436185532
0 -1 -5212.560554461526
0 0 15.37932726247848
0 1 5243.319208986484
0 2 10471.25909071049
0 3 15699.198972434495
0 4 20927.1388541585
1 -4 -21578.854929115918
1 -3 -16350.915047391913
1 -2 -11122.97516566791
1 -1 -5895.035283943902
1 0 -667.095402219897
1 1 4560.844479504109
1 2 9788.784361228114
1 3 15016.72424295212
1 4 20244.66412467613
2 -4 -22261.329658598293
2 -3 -17033.389776874286
2 -2 -11805.449895150283
2 -1 -6577.5100134262775
2 0 -1349.5701317022724
2 1 3878.369750021732
2 2 9106.309631745738
2 3 14334.249513469744
2 4 19562.18939519375
3 -4 -22943.80438808067
3 -3 -17715.864506356662
3 -2 -12487.924624632658
3 -1 -7259.984742908653
3 0 -2032.0448611846477
3 1 3195.8950205393576
3 2 8423.834902263363
3 3 13651.774783987368
3 4 18879.714665711374
4 -4 -23626.279117563045
4 -3 -18398.339235839037
4 -2 -13170.399354115034
4 -1 -7942.459472391029
4 0 -2714.5195906670233
4 1 2513.420291056982
4 2 7741.360172780987
4 3 12969.300054504993
4 4 18197.239936228998
